Index,Date,Departure Time,Arrivel Time,Price
402,2017-12-09,3:30 pm,7:10 pm,$34
403,2017-12-10,7:45 am,11:05 am,$26
404,2017-12-10,9:50 am,2:15 pm,$24
405,2017-12-10,3:30 pm,7:44 pm,$1
406,2017-12-10,4:30 pm,8:15 pm,$24
407,2017-12-10,4:30 pm,8:15 pm,$34
408,2017-12-11,7:45 am,11:05 am,$26
409,2017-12-11,9:50 am,2:15 pm,$24
410,2017-12-11,3:30 pm,7:10 pm,$24
411,2017-12-11,3:30 pm,7:10 pm,$34
412,2017-12-12,7:45 am,11:05 am,$26
413,2017-12-12,9:50 am,2:15 pm,$24
414,2017-12-12,3:30 pm,7:10 pm,$24
415,2017-12-12,3:30 pm,7:10 pm,$34
416,2017-12-13,7:45 am,11:05 am,$26
417,2017-12-13,9:50 am,2:15 pm,$24
418,2017-12-13,3:30 pm,7:10 pm,$1
419,2017-12-13,3:30 pm,7:10 pm,$34
420,2017-12-14,7:45 am,11:05 am,$26
421,2017-12-14,9:50 am,2:15 pm,$24
422,2017-12-14,3:30 pm,7:10 pm,$1
423,2017-12-14,3:30 pm,7:10 pm,$34
424,2017-12-15,7:45 am,11:05 am,$26
425,2017-12-15,9:50 am,2:15 pm,$25
426,2017-12-15,3:30 pm,7:40 pm,$25
427,2017-12-15,3:30 pm,7:40 pm,$35
428,2017-12-15,4:30 pm,8:49 pm,$25
429,2017-12-16,7:45 am,11:05 am,$26
430,2017-12-16,9:50 am,2:15 pm,$24
431,2017-12-16,3:30 pm,7:10 pm,$24
432,2017-12-16,3:30 pm,7:10 pm,$34
433,2017-12-17,7:45 am,11:05 am,$26
434,2017-12-17,9:50 am,2:15 pm,$24
435,2017-12-17,3:30 pm,7:44 pm,$1
436,2017-12-17,4:30 pm,8:15 pm,$1
437,2017-12-17,4:30 pm,8:15 pm,$34
438,2017-12-18,7:45 am,11:05 am,$26
439,2017-12-18,9:50 am,2:15 pm,$25
440,2017-12-18,3:30 pm,7:10 pm,$24
441,2017-12-18,3:30 pm,7:10 pm,$34
442,2017-12-19,7:45 am,11:05 am,$26
443,2017-12-19,9:50 am,2:15 pm,$24
444,2017-12-19,3:30 pm,7:10 pm,$24
445,2017-12-19,3:30 pm,7:10 pm,$34
446,2017-12-20,7:45 am,11:05 am,$26
447,2017-12-20,9:50 am,2:15 pm,$24
448,2017-12-20,3:30 pm,7:10 pm,$1
449,2017-12-20,3:30 pm,7:10 pm,$34
450,2017-12-21,7:45 am,11:05 am,$26
451,2017-12-21,9:50 am,2:15 pm,$24
452,2017-12-21,3:30 pm,7:10 pm,$24
453,2017-12-21,3:30 pm,7:10 pm,$34
454,2017-12-22,7:45 am,11:05 am,$26
455,2017-12-22,9:50 am,2:15 pm,$24
456,2017-12-22,3:30 pm,7:40 pm,$24
457,2017-12-22,3:30 pm,7:40 pm,$34
458,2017-12-22,4:30 pm,8:49 pm,$25
459,2017-12-23,7:45 am,11:05 am,$26
460,2017-12-23,9:50 am,2:15 pm,$25
461,2017-12-23,3:30 pm,7:10 pm,$24
462,2017-12-23,3:30 pm,7:10 pm,$34
463,2017-12-24,7:45 am,11:05 am,$26
464,2017-12-24,9:50 am,2:15 pm,$24
465,2017-12-24,3:30 pm,7:44 pm,$24
466,2017-12-24,4:30 pm,8:15 pm,$24
467,2017-12-24,4:30 pm,8:15 pm,$34
468,2017-12-25,7:45 am,11:05 am,$26
469,2017-12-25,9:50 am,2:15 pm,$24
470,2017-12-25,3:30 pm,7:10 pm,$24
471,2017-12-25,3:30 pm,7:10 pm,$34
472,2017-12-26,7:45 am,11:05 am,$26
473,2017-12-26,9:50 am,2:15 pm,$24
474,2017-12-26,3:30 pm,7:10 pm,$24
475,2017-12-26,3:30 pm,7:10 pm,$34
476,2017-12-27,7:45 am,11:05 am,$26
477,2017-12-27,9:50 am,2:15 pm,$24
478,2017-12-27,3:30 pm,7:10 pm,$24
479,2017-12-27,3:30 pm,7:10 pm,$34
480,2017-12-28,7:45 am,11:05 am,$26
481,2017-12-28,9:50 am,2:15 pm,$24
482,2017-12-28,3:30 pm,7:10 pm,$24
483,2017-12-28,3:30 pm,7:10 pm,$34
484,2017-12-29,7:45 am,11:05 am,$26
485,2017-12-29,9:50 am,2:15 pm,$24
486,2017-12-29,3:30 pm,7:40 pm,$34
487,2017-12-29,3:30 pm,7:40 pm,$44
488,2017-12-29,4:30 pm,8:49 pm,$34
489,2017-12-30,7:45 am,11:05 am,$26
490,2017-12-30,9:50 am,2:15 pm,$24
491,2017-12-30,3:30 pm,7:10 pm,$24
492,2017-12-30,3:30 pm,7:10 pm,$34
493,2017-12-31,7:45 am,11:05 am,$26
494,2017-12-31,9:50 am,2:15 pm,$1
495,2017-12-31,3:30 pm,7:44 pm,$24
496,2017-12-31,4:30 pm,8:15 pm,$25
497,2017-12-31,4:30 pm,8:15 pm,$35
498,2018-01-01,7:45 am,11:05 am,$26
499,2018-01-01,9:50 am,2:15 pm,$24
500,2018-01-01,3:30 pm,7:10 pm,$24
501,2018-01-01,3:30 pm,7:10 pm,$34
502,2018-01-02,7:45 am,11:05 am,$26
503,2018-01-02,9:50 am,2:15 pm,$24
504,2018-01-02,3:30 pm,7:10 pm,$24
505,2018-01-02,3:30 pm,7:10 pm,$34
506,2018-01-03,7:45 am,11:05 am,$26
507,2018-01-03,9:50 am,2:15 pm,$24
508,2018-01-03,3:30 pm,7:10 pm,$1
509,2018-01-03,3:30 pm,7:10 pm,$34
510,2018-01-04,7:45 am,11:05 am,$26
511,2018-01-04,9:50 am,2:15 pm,$24
512,2018-01-04,3:30 pm,7:10 pm,$24
513,2018-01-04,3:30 pm,7:10 pm,$34
514,2018-01-05,7:45 am,11:05 am,$26
515,2018-01-05,9:50 am,2:15 pm,$24
516,2018-01-05,3:30 pm,7:40 pm,$24
517,2018-01-05,3:30 pm,7:40 pm,$34
518,2018-01-05,4:30 pm,8:49 pm,$25
519,2018-01-06,7:45 am,11:05 am,$26
520,2018-01-06,9:50 am,2:15 pm,$24
521,2018-01-06,3:30 pm,7:10 pm,$24
522,2018-01-06,3:30 pm,7:10 pm,$34
523,2018-01-07,7:45 am,11:05 am,$26
524,2018-01-07,9:50 am,2:15 pm,$25
525,2018-01-07,3:30 pm,7:44 pm,$24
526,2018-01-07,4:30 pm,8:15 pm,$34
527,2018-01-07,4:30 pm,8:15 pm,$44
528,2018-01-08,7:45 am,11:05 am,$26
529,2018-01-08,9:50 am,2:15 pm,$1
530,2018-01-08,3:30 pm,7:10 pm,$1
531,2018-01-08,3:30 pm,7:10 pm,$34
532,2018-01-09,7:45 am,11:05 am,$26
533,2018-01-09,9:50 am,2:15 pm,$24
534,2018-01-09,3:30 pm,7:10 pm,$24
535,2018-01-09,3:30 pm,7:10 pm,$34
536,2018-01-10,7:45 am,11:05 am,$1
537,2018-01-10,9:50 am,2:15 pm,$1
538,2018-01-10,3:30 pm,7:10 pm,$24
539,2018-01-10,3:30 pm,7:10 pm,$34
540,2018-01-11,7:45 am,11:05 am,$26
541,2018-01-11,9:50 am,2:15 pm,$24
542,2018-01-11,3:30 pm,7:10 pm,$24
543,2018-01-11,3:30 pm,7:10 pm,$34
544,2018-01-12,7:45 am,11:05 am,$26
545,2018-01-12,9:50 am,2:15 pm,$25
546,2018-01-12,3:30 pm,7:40 pm,$24
547,2018-01-12,3:30 pm,7:40 pm,$34
548,2018-01-12,4:30 pm,8:49 pm,$25
